	Scan	Voltage (mV)	Current (A)
0	0	-49.0264892578125	-5.4031616929962265e-11
1	0	-48.2025146484375	-5.304814017392876e-11
2	0	-47.3785400390625	-5.1969295974885934e-11
3	0	-46.5545654296875	-5.12898029434446e-11
4	0	-45.7305908203125	-5.047321921267738e-11
5	0	-44.86083984375	-4.962683315596976e-11
6	0	-44.036865234375	-4.8822170355578706e-11
7	0	-43.212890625	-4.817844011526586e-11
8	0	-42.388916015625	-4.758835406164576e-11
9	0	-41.56494140625	-4.68492563783236e-11
10	0	-40.6951904296875	-4.6020751717180216e-11
11	0	-39.8712158203125	-4.5382981942055454e-11
12	0	-39.0472412109375	-4.4947867983325474e-11
13	0	-38.2232666015625	-4.472137030617837e-11
14	0	-37.3992919921875	-4.361868424638322e-11
15	0	-36.529541015625	-4.301071679719887e-11
16	0	-35.70556640625	-4.236102609169794e-11
17	0	-34.881591796875	-4.2045121436729605e-11
18	0	-34.0576171875	-4.1437153987545245e-11
19	0	-33.233642578125	-4.094243537693445e-11
20	0	-32.3638916015625	-4.0280823741057364e-11
21	0	-31.5399169921875	-3.980994699119889e-11
22	0	-30.7159423828125	-3.932118884577618e-11
23	0	-29.8919677734375	-3.893971907373895e-11
24	0	-29.0679931640625	-3.8361553950494994e-11
25	0	-28.1982421875	-3.799200510883393e-11
26	0	-27.374267578125	-3.7348274868521075e-11
27	0	-26.55029296875	-3.693700277054343e-11
28	0	-25.726318359375	-3.6299232995418663e-11
29	0	-24.90234375	-3.591180275819335e-11
30	0	-24.0325927734375	-3.545284693871104e-11
31	0	-23.2086181640625	-3.5130981818554615e-11
32	0	-22.3846435546875	-3.4677986464260396e-11
33	0	-21.5606689453125	-3.4219030644778087e-11
34	0	-20.7366943359375	-3.367662831266264e-11
35	0	-19.866943359375	-3.3301119005813474e-11
36	0	-19.04296875	-3.282428179076693e-11
37	0	-18.218994140625	-3.2460693414293936e-11
38	0	-17.39501953125	-3.203750038594012e-11
39	0	-16.571044921875	-3.176331898728835e-11
40	0	-15.7470703125	-3.126860037667756e-11
41	0	-14.8773193359375	-3.10242213039662e-11
42	0	-14.0533447265625	-3.04341352503461e-11
43	0	-13.2293701171875	-3.002286315236844e-11
44	0	-12.4053955078125	-2.956986779807422e-11
45	0	-11.5814208984375	-2.928376546904629e-11
46	0	-10.711669921875	-2.9021505000770687e-11
47	0	-9.8876953125	-2.8705600345802348e-11
48	0	-9.063720703125	-2.824068406113196e-11
49	0	-8.23974609375	-2.7835372428342392e-11
50	0	-7.415771484375	-2.7316811956979267e-11
51	0	-6.5460205078125	-2.715587939690106e-11
52	0	-5.7220458984375	-2.6851895672308884e-11
53	0	-4.8980712890625	-2.642870264395507e-11
54	0	-4.0740966796875	-2.592802356815619e-11
55	0	-3.2501220703125	-2.557039565687128e-11
56	0	-2.38037109375	-2.540946309679307e-11
57	0	-1.556396484375	-2.5266411932279102e-11
58	0	-0.732421875	-2.484321890392529e-11
59	0	0.091552734375	-2.437234215406682e-11
60	0	0.91552734375	-2.399683284721766e-11
61	0	1.7852783203125	-2.3949149125713005e-11
62	0	2.6092529296875	-2.3531916562547275e-11
63	0	3.4332275390625	-2.3055079347500726e-11
64	0	4.2572021484375	-2.259612352801842e-11
65	0	5.0811767578125	-2.2494795619821025e-11
66	0	5.950927734375	-2.222061422116926e-11
67	0	6.77490234375	-2.180338165800353e-11
68	0	7.598876953125	-2.143383281634245e-11
69	0	8.4228515625	-2.1088125835433702e-11
70	0	9.246826171875	-2.071261652858454e-11
71	0	10.1165771484375	-2.0623209550763315e-11
72	0	10.9405517578125	-2.0313265360983057e-11
73	0	11.7645263671875	-2.003312349714321e-11
74	0	12.5885009765625	-1.9633772329541722e-11
75	0	13.4124755859375	-1.9323828139761464e-11
76	0	14.2822265625	-1.905560720629778e-11
77	0	15.106201171875	-1.8692018829824786e-11
78	0	15.93017578125	-1.8572809526063146e-11
79	0	16.754150390625	-1.8405916500796852e-11
80	0	17.578125	-1.8161537428085497e-11
81	0	18.4478759765625	-1.778602812123634e-11
82	0	19.2718505859375	-1.75356885833369e-11
83	0	20.0958251953125	-1.7237665323932807e-11
84	0	20.9197998046875	-1.713037695054733e-11
85	0	21.7437744140625	-1.6832353691143238e-11
86	0	22.613525390625	-1.6659500200688863e-11
87	0	23.4375	-1.6450883919105997e-11
88	0	24.261474609375	-1.618266298564231e-11
89	0	25.08544921875	-1.585483740029781e-11
90	0	25.909423828125	-1.5658142049091106e-11
91	0	26.7791748046875	-1.5312435068182356e-11
92	0	27.6031494140625	-1.5175344368856473e-11
93	0	28.4271240234375	-1.4954807156897444e-11
94	0	29.2510986328125	-1.490712343539279e-11
95	0	30.0750732421875	-1.453161412854363e-11
96	0	30.94482421875	-1.4305116451396519e-11
97	0	31.768798828125	-1.399517226161626e-11
98	0	32.5927734375	-1.3887883888230787e-11
99	0	33.416748046875	-1.3637544350331347e-11
100	0	34.24072265625	-1.3637544350331347e-11
101	0	35.064697265625	-1.3327600160551091e-11
102	0	35.9344482421875	-1.3083221087839734e-11
103	0	36.7584228515625	-1.2826921084752212e-11
104	0	37.5823974609375	-1.2797118758811803e-11
105	0	38.4063720703125	-1.2695790850614411e-11
106	0	39.2303466796875	-1.2397767591210317e-11
107	0	40.10009765625	-1.202821874954924e-11
108	0	40.924072265625	-1.2016297819173075e-11
109	0	41.748046875	-1.1944772236916093e-11
110	0	42.572021484375	-1.1730195490145146e-11
111	0	43.39599609375	-1.130104199660325e-11
112	0	44.2657470703125	-1.124143734472243e-11
113	0	45.0897216796875	-1.121163501878202e-11
114	0	45.9136962890625	-1.1086465249832303e-11
115	0	46.7376708984375	-4.768372150465506e-14
116	0	47.5616455078125	-1.0538102452528769e-11
117	0	48.431396484375	-1.0430814079143295e-11
118	0	49.25537109375	-1.0341407101322067e-11
119	0	50.079345703125	-1.0305644310193575e-11
120	0	50.9033203125	-1.0073186167858382e-11
121	0	51.727294921875	-9.787083838830452e-12
122	0	52.5970458984375	-9.62019081356416e-12
123	0	53.4210205078125	-9.441376857921702e-12
124	0	54.2449951171875	-9.423495462357456e-12
125	0	55.0689697265625	-9.298325693407736e-12
126	0	55.8929443359375	-9.161234994081853e-12
127	0	56.7626953125	-9.030104759944053e-12
128	0	57.586669921875	-8.785725687232696e-12
129	0	58.41064453125	-8.618832661966403e-12
130	0	59.234619140625	-8.577109405649829e-12
131	0	60.05859375	-8.374453589255046e-12
132	0	60.9283447265625	-8.3565721936908e-12
133	0	61.7523193359375	-8.29696754180998e-12
134	0	62.5762939453125	-8.106232655791361e-12
135	0	63.4002685546875	-7.897616374208494e-12
136	0	64.2242431640625	-7.778407070446857e-12
137	0	65.093994140625	-7.677079162249466e-12
138	0	65.91796875	-7.474423345854682e-12
139	0	66.741943359375	-7.450581485102353e-12
140	0	67.56591796875	-7.402897763597698e-12
141	0	68.389892578125	-7.331372181340716e-12
142	0	69.2596435546875	-7.182360551638669e-12
143	0	70.0836181640625	-6.99758613080813e-12
144	0	70.9075927734375	-6.9081791529869024e-12
145	0	71.7315673828125	-6.705523336592118e-12
146	0	72.5555419921875	-6.6459186847112996e-12
147	0	73.42529296875	-6.657839615087464e-12
148	0	74.249267578125	-6.5445907765139075e-12
149	0	75.0732421875	-6.347895425307206e-12
150	0	75.897216796875	-6.240607051921731e-12
151	0	76.72119140625	-6.049872165903111e-12
152	0	77.5909423828125	-6.031990770338866e-12
153	0	78.4149169921875	-6.133318678536257e-12
154	0	79.2388916015625	-5.936623327329555e-12
155	0	80.0628662109375	-5.69820471980628e-12
156	0	80.8868408203125	-5.656481463489707e-12
157	0	81.756591796875	-5.757809371687099e-12
158	0	82.58056640625	-5.5909163464208065e-12
159	0	83.404541015625	-5.382300064837941e-12
160	0	84.228515625	-5.28693262182863e-12
161	0	85.052490234375	-5.310774482580958e-12
162	0	85.9222412109375	-5.340576808521367e-12
163	0	86.7462158203125	-5.1796442484431556e-12
164	0	87.5701904296875	-4.982948897236454e-12
165	0	88.3941650390625	-4.875660523850981e-12
166	0	89.2181396484375	-4.905462849791389e-12
167	0	90.0421142578125	-4.9889093624245356e-12
168	0	90.911865234375	-4.714727963772769e-12
169	0	91.73583984375	-4.631281451139623e-12
170	0	92.559814453125	-4.476309356249494e-12
171	0	93.3837890625	-4.565716334070723e-12
172	0	94.207763671875	-4.49419075181374e-12
173	0	95.0775146484375	-4.46438842587333e-12
174	0	95.9014892578125	-4.36902098286402e-12
175	0	96.7254638671875	-4.267693074666628e-12
176	0	97.5494384765625	-4.0888791190241715e-12
177	0	98.3734130859375	-4.017353536767189e-12
178	0	99.2431640625	-4.047155862707598e-12
179	0	100.067138671875	-4.112720979776499e-12
180	0	100.89111328125	-3.969669815262534e-12
181	0	101.715087890625	-3.963709350074453e-12
182	0	102.5390625	-3.856420976688978e-12
183	0	103.4088134765625	-3.695488416610767e-12
184	0	104.2327880859375	-3.6895279514226856e-12
185	0	105.0567626953125	-3.612041903977621e-12
186	0	105.8807373046875	-3.665686090670358e-12
