	Scan	Voltage (mV)	Current (A)
0	0	-49.8504638671875	-2.6106837523798647e-13
1	0	-49.530029296875	-2.6106837523798647e-13
2	0	-49.2095947265625	-2.646446543508356e-13
3	0	-48.88916015625	-2.5928023568156193e-13
4	0	-48.52294921875	-2.700090730201093e-13
5	0	-48.2025146484375	-2.6822093346368474e-13
6	0	-47.882080078125	-2.449751192301654e-13
7	0	-47.5616455078125	-2.664327939072602e-13
8	0	-47.1954345703125	-2.62856514794411e-13
9	0	-46.875	-2.843141894715058e-13
10	0	-46.5545654296875	-2.396107005608917e-13
11	0	-46.1883544921875	-2.503395378994391e-13
12	0	-45.867919921875	-2.431869796737408e-13
13	0	-45.5474853515625	-2.7894977080223213e-13
14	0	-45.22705078125	-2.3782256100446715e-13
15	0	-44.86083984375	-2.664327939072602e-13
16	0	-44.5404052734375	-2.485513983430145e-13
17	0	-44.219970703125	-2.6106837523798647e-13
18	0	-43.8995361328125	-2.3782256100446715e-13
19	0	-43.5333251953125	-2.646446543508356e-13
20	0	-43.212890625	-2.5749209612513734e-13
21	0	-42.8924560546875	-2.6822093346368474e-13
22	0	-42.572021484375	-2.5749209612513734e-13
23	0	-42.205810546875	-2.5570395656871275e-13
24	0	-41.8853759765625	-2.5570395656871275e-13
25	0	-41.56494140625	-2.6822093346368474e-13
26	0	-41.2445068359375	-2.539158170122882e-13
27	0	-40.8782958984375	-2.6822093346368474e-13
28	0	-40.557861328125	-2.646446543508356e-13
29	0	-40.2374267578125	-2.5570395656871275e-13
30	0	-39.8712158203125	-2.6822093346368474e-13
31	0	-39.55078125	-2.664327939072602e-13
32	0	-39.2303466796875	-2.539158170122882e-13
33	0	-38.909912109375	-2.700090730201093e-13
34	0	-38.543701171875	-2.7179721257653387e-13
35	0	-38.2232666015625	-2.6106837523798647e-13
36	0	-37.90283203125	-2.5928023568156193e-13
37	0	-37.5823974609375	-2.6106837523798647e-13
38	0	-37.2161865234375	-2.503395378994391e-13
39	0	-36.895751953125	-2.6822093346368474e-13
40	0	-36.5753173828125	-2.5212767745586367e-13
41	0	-36.2548828125	-2.62856514794411e-13
42	0	-35.888671875	-2.5212767745586367e-13
43	0	-35.5682373046875	-2.700090730201093e-13
44	0	-35.247802734375	-2.62856514794411e-13
45	0	-34.881591796875	-2.62856514794411e-13
46	0	-34.5611572265625	-2.4676325878658995e-13
47	0	-34.24072265625	-2.664327939072602e-13
48	0	-33.9202880859375	-2.6106837523798647e-13
49	0	-33.5540771484375	-2.843141894715058e-13
50	0	-33.233642578125	-2.5749209612513734e-13
51	0	-32.9132080078125	-2.87890468584355e-13
52	0	-32.5927734375	-2.5212767745586367e-13
53	0	-32.2265625	-2.62856514794411e-13
54	0	-31.9061279296875	-2.6106837523798647e-13
55	0	-31.585693359375	-2.5928023568156193e-13
56	0	-31.2652587890625	-2.503395378994391e-13
57	0	-30.8990478515625	-2.664327939072602e-13
58	0	-30.57861328125	-2.5212767745586367e-13
59	0	-30.2581787109375	-2.6106837523798647e-13
60	0	-29.8919677734375	-2.3603442144804256e-13
61	0	-29.571533203125	-2.5928023568156193e-13
62	0	-29.2510986328125	-2.5570395656871275e-13
63	0	-28.9306640625	-2.807379103586567e-13
64	0	-28.564453125	-2.485513983430145e-13
65	0	-28.2440185546875	-2.75373491689383e-13
66	0	-27.923583984375	-2.449751192301654e-13
67	0	-27.6031494140625	-2.861023290279304e-13
68	0	-27.2369384765625	-2.5212767745586367e-13
69	0	-26.91650390625	-2.5749209612513734e-13
70	0	-26.5960693359375	-2.7358535213295846e-13
71	0	-26.275634765625	-2.75373491689383e-13
72	0	-25.909423828125	-2.62856514794411e-13
