	Scan	Voltage (mV)	Current (A)
0	0	-49.62158203125	-1.0311604775381658e-10
1	0	-49.25537109375	-1.0788441990428208e-10
2	0	-48.9349365234375	-1.0252000123500838e-10
3	0	-48.614501953125	-1.0490418731024113e-10
4	0	-48.2940673828125	-1.0371209427262476e-10
5	0	-47.9278564453125	-1.0609628034785752e-10
6	0	-47.607421875	-9.477139649050194e-11
7	0	-47.2869873046875	-9.894372212215925e-11
8	0	-46.966552734375	-9.119511737765281e-11
9	0	-46.600341796875	-1.0013581515977563e-10
10	0	-46.2799072265625	-9.059907085884462e-11
11	0	-45.95947265625	-1.0132790819739202e-10
12	0	-45.59326171875	-8.821488478361187e-11
13	0	-45.2728271484375	-9.953976864096744e-11
14	0	-44.952392578125	-8.70227917459955e-11
15	0	-44.6319580078125	-9.298325693407737e-11
16	0	-44.2657470703125	-9.477139649050194e-11
17	0	-43.9453125	-1.0311604775381658e-10
18	0	-43.6248779296875	-8.821488478361187e-11
19	0	-43.304443359375	-1.0311604775381658e-10
20	0	-42.938232421875	-9.477139649050194e-11
21	0	-42.6177978515625	-1.0132790819739202e-10
22	0	-42.29736328125	-9.119511737765281e-11
23	0	-41.9769287109375	-9.894372212215925e-11
24	0	-41.6107177734375	-1.0311604775381658e-10
25	0	-41.290283203125	-9.775162908454288e-11
26	0	-40.9698486328125	-8.940697782122824e-11
27	0	-40.6036376953125	-1.0252000123500838e-10
28	0	-40.283203125	-9.536744300931013e-11
29	0	-39.9627685546875	-1.0252000123500838e-10
30	0	-39.642333984375	-9.000302434003642e-11
31	0	-39.276123046875	-1.0252000123500838e-10
32	0	-38.9556884765625	-8.70227917459955e-11
33	0	-38.63525390625	-9.953976864096744e-11
34	0	-38.3148193359375	-8.881093130242006e-11
35	0	-37.9486083984375	-9.655953604692652e-11
36	0	-37.628173828125	-8.404255915195455e-11
37	0	-37.3077392578125	-1.072883733854739e-10
38	0	-36.9873046875	-7.987023352029723e-11
39	0	-36.62109375	-9.834767560335107e-11
40	0	-36.3006591796875	-8.344651263314636e-11
41	0	-35.980224609375	-9.894372212215925e-11
42	0	-35.614013671875	-8.344651263314636e-11
43	0	-35.2935791015625	-1.0252000123500838e-10
44	0	-34.97314453125	-8.106232655791361e-11
45	0	-34.6527099609375	-9.596348952811832e-11
46	0	-34.2864990234375	-8.523465218957092e-11
47	0	-33.966064453125	-9.059907085884462e-11
48	0	-33.6456298828125	-8.463860567076273e-11
49	0	-33.3251953125	-9.596348952811832e-11
50	0	-32.958984375	-8.821488478361187e-11
51	0	-32.6385498046875	-9.655953604692652e-11
52	0	-32.318115234375	-8.761883826480368e-11
53	0	-31.9976806640625	-9.417534997169375e-11
54	0	-31.6314697265625	-7.748604744506448e-11
55	0	-31.31103515625	-1.019239547162002e-10
56	0	-30.9906005859375	-8.523465218957092e-11
57	0	-30.6243896484375	-1.0132790819739202e-10
58	0	-30.303955078125	-8.106232655791361e-11
59	0	-29.9835205078125	-9.417534997169375e-11
60	0	-29.6630859375	-8.225441959552999e-11
61	0	-29.296875	-1.0371209427262476e-10
62	0	-28.9764404296875	-7.62939544074481e-11
63	0	-28.656005859375	-9.596348952811832e-11
64	0	-28.3355712890625	-7.927418700148905e-11
65	0	-27.9693603515625	-9.894372212215925e-11
66	0	-27.64892578125	-7.808209396387266e-11
67	0	-27.3284912109375	-1.0073186167858382e-10
68	0	-27.008056640625	-7.927418700148905e-11
69	0	-26.641845703125	-9.477139649050194e-11
70	0	-26.3214111328125	-7.927418700148905e-11
71	0	-26.0009765625	-9.655953604692652e-11
72	0	-25.6805419921875	-7.689000092625629e-11
73	0	-25.3143310546875	-9.953976864096744e-11
74	0	-24.993896484375	-8.404255915195455e-11
75	0	-24.6734619140625	-9.477139649050194e-11
76	0	-24.3072509765625	-8.046628003910542e-11
77	0	-23.98681640625	-9.477139649050194e-11
78	0	-23.6663818359375	-8.463860567076273e-11
79	0	-23.345947265625	-9.238721041526918e-11
80	0	-22.979736328125	-8.165837307672179e-11
81	0	-22.6593017578125	-9.357930345288557e-11
82	0	-22.3388671875	-8.523465218957092e-11
83	0	-22.0184326171875	-9.1791163896461e-11
84	0	-21.6522216796875	-8.463860567076273e-11
85	0	-21.331787109375	-8.821488478361187e-11
86	0	-21.0113525390625	-8.881093130242006e-11
87	0	-20.69091796875	-9.000302434003642e-11
88	0	-20.32470703125	-8.642674522718731e-11
89	0	-20.0042724609375	-8.523465218957092e-11
90	0	-19.683837890625	-8.344651263314636e-11
91	0	-19.317626953125	-8.881093130242006e-11
92	0	-18.9971923828125	-8.642674522718731e-11
93	0	-18.6767578125	-9.1791163896461e-11
94	0	-18.3563232421875	-8.70227917459955e-11
95	0	-17.9901123046875	-8.821488478361187e-11
96	0	-17.669677734375	-8.046628003910542e-11
97	0	-17.3492431640625	-9.1791163896461e-11
98	0	-17.02880859375	-8.404255915195455e-11
99	0	-16.66259765625	-9.059907085884462e-11
100	0	-16.3421630859375	-8.225441959552999e-11
101	0	-16.021728515625	-9.238721041526918e-11
102	0	-15.7012939453125	-8.404255915195455e-11
103	0	-15.3350830078125	-8.940697782122824e-11
104	0	-15.0146484375	-9.000302434003642e-11
105	0	-14.6942138671875	-8.881093130242006e-11
106	0	-14.3280029296875	-9.059907085884462e-11
107	0	-14.007568359375	-8.523465218957092e-11
108	0	-13.6871337890625	-8.881093130242006e-11
109	0	-13.36669921875	-7.748604744506448e-11
110	0	-13.00048828125	-8.821488478361187e-11
111	0	-12.6800537109375	-8.583069870837912e-11
112	0	-12.359619140625	-9.059907085884462e-11
113	0	-12.0391845703125	-7.987023352029723e-11
114	0	-11.6729736328125	-9.059907085884462e-11
115	0	-11.3525390625	-8.344651263314636e-11
116	0	-11.0321044921875	-9.298325693407737e-11
117	0	-10.711669921875	-8.523465218957092e-11
118	0	-10.345458984375	-9.119511737765281e-11
119	0	-10.0250244140625	-7.331372181340716e-11
120	0	-9.70458984375	-9.1791163896461e-11
121	0	-9.33837890625	-8.463860567076273e-11
122	0	-9.0179443359375	-9.000302434003642e-11
