	Scan	Voltage (mV)	Current (A)
0	0	498.870849609375	-9.119511737765281e-09
1	0	498.046875	-9.1791163896461e-09
2	0	497.222900390625	-9.298325693407737e-09
3	0	496.39892578125	-9.298325693407737e-09
4	0	495.5291748046875	-9.238721041526918e-09
5	0	494.7052001953125	-9.119511737765281e-09
6	0	493.8812255859375	-8.940697782122824e-09
7	0	493.0572509765625	-9.119511737765281e-09
8	0	492.2332763671875	-9.000302434003643e-09
9	0	491.363525390625	-9.059907085884462e-09
10	0	490.53955078125	-9.1791163896461e-09
11	0	489.715576171875	-9.477139649050193e-09
12	0	488.8916015625	-9.119511737765281e-09
13	0	488.067626953125	-9.298325693407737e-09
14	0	487.1978759765625	-8.583069870837912e-09
15	0	486.3739013671875	-9.119511737765281e-09
16	0	485.5499267578125	-9.000302434003643e-09
17	0	484.7259521484375	-9.119511737765281e-09
18	0	483.9019775390625	-9.477139649050193e-09
19	0	483.0322265625	-8.761883826480368e-09
20	0	482.208251953125	-9.059907085884462e-09
21	0	481.38427734375	-8.940697782122824e-09
22	0	480.560302734375	-9.000302434003643e-09
23	0	479.736328125	-9.298325693407737e-09
24	0	478.8665771484375	-9.119511737765281e-09
25	0	478.0426025390625	-9.000302434003643e-09
26	0	477.2186279296875	-8.940697782122824e-09
27	0	476.3946533203125	-8.70227917459955e-09
28	0	475.5706787109375	-9.059907085884462e-09
29	0	474.700927734375	-8.761883826480368e-09
30	0	473.876953125	-9.417534997169374e-09
31	0	473.052978515625	-9.417534997169374e-09
32	0	472.22900390625	-9.298325693407737e-09
33	0	471.405029296875	-9.1791163896461e-09
34	0	470.5352783203125	-9.119511737765281e-09
35	0	469.7113037109375	-8.940697782122824e-09
36	0	468.8873291015625	-9.119511737765281e-09
37	0	468.0633544921875	-9.1791163896461e-09
38	0	467.2393798828125	-9.000302434003643e-09
39	0	466.4154052734375	-9.059907085884462e-09
40	0	465.545654296875	-8.881093130242006e-09
41	0	464.7216796875	-9.238721041526918e-09
42	0	463.897705078125	-9.119511737765281e-09
43	0	463.07373046875	-9.298325693407737e-09
44	0	462.249755859375	-9.298325693407737e-09
45	0	461.3800048828125	-9.1791163896461e-09
46	0	460.5560302734375	-9.059907085884462e-09
47	0	459.7320556640625	-9.1791163896461e-09
48	0	458.9080810546875	-9.238721041526918e-09
49	0	458.0841064453125	-9.238721041526918e-09
50	0	457.21435546875	-9.536744300931012e-09
51	0	456.390380859375	-9.1791163896461e-09
52	0	455.56640625	-9.119511737765281e-09
53	0	454.742431640625	-9.059907085884462e-09
54	0	453.91845703125	-9.238721041526918e-09
55	0	453.0487060546875	-9.119511737765281e-09
56	0	452.2247314453125	-9.298325693407737e-09
57	0	451.4007568359375	-9.1791163896461e-09
58	0	450.5767822265625	-9.119511737765281e-09
59	0	449.7528076171875	-8.940697782122824e-09
60	0	448.883056640625	-9.357930345288557e-09
61	0	448.05908203125	-9.298325693407737e-09
62	0	447.235107421875	-9.417534997169374e-09
63	0	446.4111328125	-8.821488478361187e-09
64	0	445.587158203125	-9.059907085884462e-09
65	0	444.7174072265625	-9.1791163896461e-09
66	0	443.8934326171875	-9.119511737765281e-09
67	0	443.0694580078125	-9.357930345288557e-09
68	0	442.2454833984375	-9.119511737765281e-09
69	0	441.4215087890625	-9.238721041526918e-09
70	0	440.5517578125	-9.417534997169374e-09
71	0	439.727783203125	-9.238721041526918e-09
72	0	438.90380859375	-9.000302434003643e-09
73	0	438.079833984375	-9.238721041526918e-09
74	0	437.255859375	-9.059907085884462e-09
75	0	436.3861083984375	-9.059907085884462e-09
76	0	435.5621337890625	-9.1791163896461e-09
77	0	434.7381591796875	-9.059907085884462e-09
78	0	433.9141845703125	-9.238721041526918e-09
79	0	433.0902099609375	-9.238721041526918e-09
80	0	432.220458984375	-9.1791163896461e-09
81	0	431.396484375	-9.119511737765281e-09
82	0	430.572509765625	-9.059907085884462e-09
83	0	429.74853515625	-9.119511737765281e-09
84	0	428.924560546875	-9.119511737765281e-09
85	0	428.0548095703125	-9.1791163896461e-09
86	0	427.2308349609375	-9.298325693407737e-09
87	0	426.4068603515625	-9.357930345288557e-09
88	0	425.5828857421875	-9.1791163896461e-09
89	0	424.7589111328125	-9.357930345288557e-09
90	0	423.88916015625	-9.298325693407737e-09
91	0	423.065185546875	-9.357930345288557e-09
92	0	422.2412109375	-9.059907085884462e-09
93	0	421.417236328125	-9.1791163896461e-09
94	0	420.59326171875	-9.238721041526918e-09
95	0	419.7235107421875	-9.1791163896461e-09
96	0	418.8995361328125	-9.000302434003643e-09
97	0	418.0755615234375	-9.298325693407737e-09
98	0	417.2515869140625	-9.119511737765281e-09
99	0	416.4276123046875	-9.1791163896461e-09
100	0	415.6036376953125	-9.1791163896461e-09
101	0	414.73388671875	-9.1791163896461e-09
102	0	413.909912109375	-9.000302434003643e-09
103	0	413.0859375	-9.1791163896461e-09
104	0	412.261962890625	-8.940697782122824e-09
105	0	411.43798828125	-8.821488478361187e-09
106	0	410.5682373046875	-9.059907085884462e-09
107	0	409.7442626953125	-9.000302434003643e-09
108	0	408.9202880859375	-9.059907085884462e-09
109	0	408.0963134765625	-9.238721041526918e-09
110	0	407.2723388671875	-9.298325693407737e-09
111	0	406.402587890625	-9.477139649050193e-09
112	0	405.57861328125	-9.238721041526918e-09
113	0	404.754638671875	-8.940697782122824e-09
114	0	403.9306640625	-9.119511737765281e-09
115	0	403.106689453125	-9.000302434003643e-09
116	0	402.2369384765625	-9.1791163896461e-09
117	0	401.4129638671875	-9.357930345288557e-09
118	0	400.5889892578125	-9.357930345288557e-09
119	0	399.7650146484375	-9.477139649050193e-09
120	0	398.9410400390625	-9.059907085884462e-09
121	0	398.0712890625	-8.881093130242006e-09
122	0	397.247314453125	-8.940697782122824e-09
123	0	396.42333984375	-8.940697782122824e-09
124	0	395.599365234375	-9.059907085884462e-09
125	0	394.775390625	-8.940697782122824e-09
126	0	393.9056396484375	-8.940697782122824e-09
127	0	393.0816650390625	-9.119511737765281e-09
128	0	392.2576904296875	-9.119511737765281e-09
129	0	391.4337158203125	-9.1791163896461e-09
130	0	390.6097412109375	-9.119511737765281e-09
131	0	389.739990234375	-9.119511737765281e-09
132	0	388.916015625	-9.000302434003643e-09
133	0	388.092041015625	-9.298325693407737e-09
134	0	387.26806640625	-9.059907085884462e-09
135	0	386.444091796875	-9.119511737765281e-09
136	0	385.5743408203125	-9.536744300931012e-09
137	0	384.7503662109375	-9.238721041526918e-09
138	0	383.9263916015625	-9.298325693407737e-09
139	0	383.1024169921875	-9.417534997169374e-09
140	0	382.2784423828125	-9.119511737765281e-09
141	0	381.40869140625	-9.1791163896461e-09
142	0	380.584716796875	-9.477139649050193e-09
143	0	379.7607421875	-9.000302434003643e-09
144	0	378.936767578125	-9.417534997169374e-09
145	0	378.11279296875	-9.119511737765281e-09
146	0	377.2430419921875	-9.655953604692651e-09
147	0	376.4190673828125	-9.357930345288557e-09
148	0	375.5950927734375	-9.298325693407737e-09
149	0	374.7711181640625	-9.417534997169374e-09
150	0	373.9471435546875	-9.059907085884462e-09
151	0	373.077392578125	-9.357930345288557e-09
152	0	372.25341796875	-8.940697782122824e-09
153	0	371.429443359375	-9.1791163896461e-09
154	0	370.60546875	-9.238721041526918e-09
155	0	369.781494140625	-9.000302434003643e-09
156	0	368.9117431640625	-9.298325693407737e-09
157	0	368.0877685546875	-9.298325693407737e-09
158	0	367.2637939453125	-8.940697782122824e-09
159	0	366.4398193359375	-9.119511737765281e-09
160	0	365.6158447265625	-9.477139649050193e-09
161	0	364.74609375	-9.238721041526918e-09
162	0	363.922119140625	-9.596348952811832e-09
163	0	363.09814453125	-9.298325693407737e-09
164	0	362.274169921875	-9.1791163896461e-09
165	0	361.4501953125	-9.357930345288557e-09
166	0	360.626220703125	-9.1791163896461e-09
167	0	359.7564697265625	-9.238721041526918e-09
168	0	358.9324951171875	-9.477139649050193e-09
169	0	358.1085205078125	-9.357930345288557e-09
170	0	357.2845458984375	-9.119511737765281e-09
171	0	356.4605712890625	-9.1791163896461e-09
172	0	355.5908203125	-9.596348952811832e-09
173	0	354.766845703125	-9.059907085884462e-09
174	0	353.94287109375	-9.1791163896461e-09
175	0	353.118896484375	-9.238721041526918e-09
176	0	352.294921875	-9.119511737765281e-09
177	0	351.4251708984375	-9.1791163896461e-09
178	0	350.6011962890625	-9.1791163896461e-09
179	0	349.7772216796875	-9.119511737765281e-09
180	0	348.9532470703125	-9.477139649050193e-09
181	0	348.1292724609375	-9.238721041526918e-09
182	0	347.259521484375	-8.881093130242006e-09
183	0	346.435546875	-9.059907085884462e-09
184	0	345.611572265625	-9.238721041526918e-09
185	0	344.78759765625	-9.298325693407737e-09
186	0	343.963623046875	-9.298325693407737e-09
187	0	343.0938720703125	-9.417534997169374e-09
188	0	342.2698974609375	-9.298325693407737e-09
189	0	341.4459228515625	-9.119511737765281e-09
190	0	340.6219482421875	-9.238721041526918e-09
191	0	339.7979736328125	-9.298325693407737e-09
192	0	338.92822265625	-9.477139649050193e-09
193	0	338.104248046875	-9.238721041526918e-09
194	0	337.2802734375	-9.477139649050193e-09
195	0	336.456298828125	-9.417534997169374e-09
196	0	335.63232421875	-9.298325693407737e-09
197	0	334.7625732421875	-9.1791163896461e-09
198	0	333.9385986328125	-9.298325693407737e-09
199	0	333.1146240234375	-9.119511737765281e-09
200	0	332.2906494140625	-9.000302434003643e-09
201	0	331.4666748046875	-8.940697782122824e-09
202	0	330.596923828125	-9.357930345288557e-09
203	0	329.77294921875	-9.119511737765281e-09
204	0	328.948974609375	-9.238721041526918e-09
205	0	328.125	-9.298325693407737e-09
206	0	327.301025390625	-9.1791163896461e-09
207	0	326.4312744140625	-9.119511737765281e-09
208	0	325.6072998046875	-9.298325693407737e-09
209	0	324.7833251953125	-9.357930345288557e-09
210	0	323.9593505859375	-9.119511737765281e-09
211	0	323.1353759765625	-9.1791163896461e-09
212	0	322.265625	-9.119511737765281e-09
213	0	321.441650390625	-9.000302434003643e-09
214	0	320.61767578125	-9.238721041526918e-09
215	0	319.793701171875	-9.536744300931012e-09
216	0	318.9697265625	-9.417534997169374e-09
217	0	318.0999755859375	-9.000302434003643e-09
218	0	317.2760009765625	-9.417534997169374e-09
219	0	316.4520263671875	-9.1791163896461e-09
220	0	315.6280517578125	-9.238721041526918e-09
221	0	314.8040771484375	-9.119511737765281e-09
222	0	313.934326171875	-9.1791163896461e-09
223	0	313.1103515625	-9.059907085884462e-09
224	0	312.286376953125	-9.357930345288557e-09
225	0	311.46240234375	-9.238721041526918e-09
226	0	310.638427734375	-9.357930345288557e-09
227	0	309.814453125	-9.298325693407737e-09
228	0	308.9447021484375	-9.298325693407737e-09
229	0	308.1207275390625	-9.238721041526918e-09
230	0	307.2967529296875	-9.298325693407737e-09
231	0	306.4727783203125	-9.119511737765281e-09
232	0	305.6488037109375	-9.1791163896461e-09
233	0	304.779052734375	-9.536744300931012e-09
234	0	303.955078125	-9.536744300931012e-09
235	0	303.131103515625	-9.298325693407737e-09
236	0	302.30712890625	-9.298325693407737e-09
237	0	301.483154296875	-9.298325693407737e-09
238	0	300.6134033203125	-9.059907085884462e-09
239	0	299.7894287109375	-9.357930345288557e-09
240	0	298.9654541015625	-9.119511737765281e-09
241	0	298.1414794921875	-9.298325693407737e-09
242	0	297.3175048828125	-9.238721041526918e-09
243	0	296.44775390625	-9.000302434003643e-09
244	0	295.623779296875	-9.298325693407737e-09
245	0	294.7998046875	-9.417534997169374e-09
246	0	293.975830078125	-9.357930345288557e-09
247	0	293.15185546875	-9.238721041526918e-09
248	0	292.2821044921875	-9.1791163896461e-09
249	0	291.4581298828125	-9.477139649050193e-09
250	0	290.6341552734375	-9.119511737765281e-09
251	0	289.8101806640625	-9.059907085884462e-09
252	0	288.9862060546875	-9.298325693407737e-09
253	0	288.116455078125	-9.238721041526918e-09
254	0	287.29248046875	-9.119511737765281e-09
255	0	286.468505859375	-9.298325693407737e-09
256	0	285.64453125	-9.119511737765281e-09
257	0	284.820556640625	-8.940697782122824e-09
258	0	283.9508056640625	-9.1791163896461e-09
259	0	283.1268310546875	-9.059907085884462e-09
260	0	282.3028564453125	-8.940697782122824e-09
261	0	281.4788818359375	-9.119511737765281e-09
262	0	280.6549072265625	-9.119511737765281e-09
263	0	279.78515625	-9.298325693407737e-09
264	0	278.961181640625	-9.238721041526918e-09
265	0	278.13720703125	-9.1791163896461e-09
266	0	277.313232421875	-9.119511737765281e-09
267	0	276.4892578125	-9.238721041526918e-09
268	0	275.6195068359375	-9.238721041526918e-09
269	0	274.7955322265625	-9.298325693407737e-09
270	0	273.9715576171875	-9.059907085884462e-09
271	0	273.1475830078125	-9.238721041526918e-09
272	0	272.3236083984375	-9.059907085884462e-09
273	0	271.453857421875	-9.000302434003643e-09
274	0	270.6298828125	-9.1791163896461e-09
275	0	269.805908203125	-9.536744300931012e-09
276	0	268.98193359375	-9.238721041526918e-09
277	0	268.157958984375	-9.059907085884462e-09
278	0	267.2882080078125	-9.000302434003643e-09
279	0	266.4642333984375	-9.119511737765281e-09
280	0	265.6402587890625	-9.298325693407737e-09
281	0	264.8162841796875	-8.821488478361187e-09
282	0	263.9923095703125	-9.298325693407737e-09
283	0	263.12255859375	-9.298325693407737e-09
284	0	262.298583984375	-9.298325693407737e-09
285	0	261.474609375	-9.059907085884462e-09
286	0	260.650634765625	-8.940697782122824e-09
287	0	259.82666015625	-9.477139649050193e-09
288	0	258.9569091796875	-9.119511737765281e-09
289	0	258.1329345703125	-9.357930345288557e-09
290	0	257.3089599609375	-9.477139649050193e-09
291	0	256.4849853515625	-9.000302434003643e-09
292	0	255.6610107421875	-9.059907085884462e-09
293	0	254.8370361328125	-9.119511737765281e-09
294	0	253.96728515625	-9.119511737765281e-09
295	0	253.143310546875	-9.238721041526918e-09
296	0	252.3193359375	-9.059907085884462e-09
297	0	251.495361328125	-9.298325693407737e-09
298	0	250.67138671875	-9.298325693407737e-09
299	0	249.8016357421875	-9.417534997169374e-09
300	0	248.9776611328125	-9.238721041526918e-09
301	0	248.1536865234375	-9.238721041526918e-09
302	0	247.3297119140625	-8.940697782122824e-09
303	0	246.5057373046875	-9.000302434003643e-09
304	0	245.635986328125	-9.000302434003643e-09
305	0	244.81201171875	-9.000302434003643e-09
306	0	243.988037109375	-9.059907085884462e-09
307	0	243.1640625	-9.298325693407737e-09
308	0	242.340087890625	-9.238721041526918e-09
309	0	241.4703369140625	-9.059907085884462e-09
310	0	240.6463623046875	-9.298325693407737e-09
311	0	239.8223876953125	-9.1791163896461e-09
312	0	238.9984130859375	-9.1791163896461e-09
313	0	238.1744384765625	-8.940697782122824e-09
314	0	237.3046875	-9.298325693407737e-09
315	0	236.480712890625	-9.417534997169374e-09
